2022-12-05 14:14:42.988 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [edu.whu.learneur.LearneurApplicationTests], using SpringBootContextLoader
2022-12-05 14:14:42.999 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [edu.whu.learneur.LearneurApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-12-05 14:14:43.000 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [edu.whu.learneur.LearneurApplicationTests]: LearneurApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-12-05 14:14:43.183 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration edu.whu.learneur.LearneurApplication for test class edu.whu.learneur.LearneurApplicationTests
2022-12-05 14:14:43.342 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-12-05 14:14:43.365 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@55c53a33, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@53b7f657, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@797b0699, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5a37d3ed, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@26df6e3a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4a3631f8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6b58b9e9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@f14a7d4, org.springframework.test.context.event.EventPublishingTestExecutionListener@52e7a6b2, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@29a5f4e7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@79c97cb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2d9caaeb, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@42a15bdc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@44a59da3, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@27e47833]
2022-12-05 14:14:43.827 [main] INFO  edu.whu.learneur.LearneurApplicationTests - Starting LearneurApplicationTests using Java 1.8.0_102 on LAPTOP-DRBT65OB with PID 17396 (started by Akihabara in D:\360MoveData\Users\Akihabara\OneDrive\桌面\大三\JavaEE大作业\Learneur\learneur)
2022-12-05 14:14:43.828 [main] INFO  edu.whu.learneur.LearneurApplicationTests - No active profile set, falling back to 1 default profile: "default"
2022-12-05 14:14:44.725 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-05 14:14:44.728 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-12-05 14:14:44.764 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2022-12-05 14:14:48.189 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.core.env.Environment edu.whu.learneur.utils.CodeUtils.env
2022-12-05 14:14:48.772 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2e0ad709, org.springframework.security.web.session.ForceEagerSessionCreationFilter@1fe8f5e8, org.springframework.security.web.session.ForceEagerSessionCreationFilter@125f16b2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@39449465, org.springframework.security.web.context.SecurityContextPersistenceFilter@79195c22, org.springframework.security.web.header.HeaderWriterFilter@6562cc23, org.springframework.security.web.authentication.logout.LogoutFilter@458031da, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@19a5b637, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@256589a1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6e3dd5ce, org.springframework.security.web.session.SessionManagementFilter@53ea380b, org.springframework.security.web.access.ExceptionTranslationFilter@36d582cb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@191ec193]
2022-12-05 14:14:50.908 [main] INFO  edu.whu.learneur.LearneurApplicationTests - Started LearneurApplicationTests in 7.47 seconds (JVM running for 8.92)
2022-12-05 14:18:01.319 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [edu.whu.learneur.LearneurApplicationTests], using SpringBootContextLoader
2022-12-05 14:18:01.326 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [edu.whu.learneur.LearneurApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-12-05 14:18:01.328 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [edu.whu.learneur.LearneurApplicationTests]: LearneurApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-12-05 14:18:01.456 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration edu.whu.learneur.LearneurApplication for test class edu.whu.learneur.LearneurApplicationTests
2022-12-05 14:18:01.591 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
