2022-12-16 00:28:56.452 [lettuce-eventExecutorLoop-1-11] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was /10.132.54.169:6379
2022-12-16 00:29:02.749 [lettuce-eventExecutorLoop-1-14] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:29:09.149 [lettuce-eventExecutorLoop-1-17] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:29:16.248 [lettuce-eventExecutorLoop-1-20] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:29:23.550 [lettuce-eventExecutorLoop-1-2] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:29:29.753 [lettuce-eventExecutorLoop-1-3] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:29:40.052 [lettuce-eventExecutorLoop-1-4] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:30:06.558 [lettuce-eventExecutorLoop-1-10] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:30:46.649 [lettuce-eventExecutorLoop-1-20] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:31:26.752 [lettuce-eventExecutorLoop-1-2] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:32:06.849 [lettuce-eventExecutorLoop-1-4] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:32:46.949 [lettuce-eventExecutorLoop-1-6] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:33:27.050 [lettuce-eventExecutorLoop-1-8] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:34:07.151 [lettuce-eventExecutorLoop-1-10] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:34:47.249 [lettuce-eventExecutorLoop-1-12] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:35:27.349 [lettuce-eventExecutorLoop-1-14] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:36:07.449 [lettuce-eventExecutorLoop-1-16] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:36:47.550 [lettuce-eventExecutorLoop-1-18] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:37:27.650 [lettuce-eventExecutorLoop-1-20] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:38:07.754 [lettuce-eventExecutorLoop-1-2] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:38:47.849 [lettuce-eventExecutorLoop-1-4] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:39:27.949 [lettuce-eventExecutorLoop-1-6] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:40:08.049 [lettuce-eventExecutorLoop-1-8] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:40:48.150 [lettuce-eventExecutorLoop-1-10] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:41:28.250 [lettuce-eventExecutorLoop-1-12] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:42:08.351 [lettuce-eventExecutorLoop-1-14] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:42:48.451 [lettuce-eventExecutorLoop-1-16] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:43:28.549 [lettuce-eventExecutorLoop-1-18] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:44:08.650 [lettuce-eventExecutorLoop-1-20] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:44:48.749 [lettuce-eventExecutorLoop-1-2] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:45:28.851 [lettuce-eventExecutorLoop-1-4] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:46:08.958 [lettuce-eventExecutorLoop-1-6] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:46:49.052 [lettuce-eventExecutorLoop-1-8] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:47:29.155 [lettuce-eventExecutorLoop-1-10] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:48:09.257 [lettuce-eventExecutorLoop-1-12] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:48:49.348 [lettuce-eventExecutorLoop-1-14] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:49:29.449 [lettuce-eventExecutorLoop-1-16] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:50:09.555 [lettuce-eventExecutorLoop-1-18] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:50:49.650 [lettuce-eventExecutorLoop-1-20] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:51:29.748 [lettuce-eventExecutorLoop-1-2] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:52:09.848 [lettuce-eventExecutorLoop-1-4] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:52:49.958 [lettuce-eventExecutorLoop-1-6] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:53:30.049 [lettuce-eventExecutorLoop-1-8] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:54:10.155 [lettuce-eventExecutorLoop-1-10] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:54:50.254 [lettuce-eventExecutorLoop-1-12] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
2022-12-16 00:55:30.348 [lettuce-eventExecutorLoop-1-14] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 10.132.54.169:6379
